description,Comp,Pos,Neu,Neg
"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> Chief Executive Officer Elon Musk sold 4.4 million shares of the electric vehicle maker worth $3.99 billion, U.S. securities filings showed on Thursday, in sales likely …",0.6486,0.184,0.816,0.0
"<ol><li>Elon Musk responds to Tesla's ESG boot amid calls for a buyback (NASDAQ:TSLA)  Seeking Alpha
</li><li>Why Tesla was kicked out of the S&P 500's ESG index  CNBC
</li><li>Cathie Wood has a simple response to Tesla getting booted out of an S&P 500 ESG …",0.0,0.0,1.0,0.0
"Easy come, easy go, as shares of Twitter Inc. fell below where Elon Musk bought it, wiping out more than $1 billion in gains in four weeks .",0.8555,0.311,0.689,0.0
"Musk’s funding plan now includes $33.5 billion in equity, up from $27.25 billion, according to a Wednesday regulatory filing.",0.0,0.0,1.0,0.0
"Tesla had earlier ""paused"" production at the Shanghai factory for weeks as the city of 25 million people went into a strict COVID lockdown.",0.0,0.0,1.0,0.0
"Tesla Inc. shares were poised to close at their lowest since late July, falling more than 8% in midday trading Friday following the allegations of sexual misconduct lobbed against Chief Executive Elon Musk.",0.0,0.112,0.775,0.112
"Investors on Thursday gave side eye to Elon Musk's bid for Twitter Inc., with Tesla Inc. stock falling further and the social-media company's stock still trading below the offer price, suggesting that the market sees risk that the $44 billion deal might not s…",-0.4019,0.0,0.919,0.081
"Elon Musk sold about $4 billion worth of Tesla Inc. stock days after reaching a $44 billion deal to buy Twitter Inc. The Tesla chief executive officer offloaded 4.4 million shares on April 26 and April 27, according to regulatory filings. Musk has now dispose…",0.5994,0.126,0.874,0.0
"Aptiv PLC (APTV) should benefit from strong global demand in the auto parts sector. However, given supply chain disruptions, will the company be able to maintain its market standing? Let's...",0.5267,0.174,0.718,0.108
"Shares of crypto-related companies and funds plunged Monday, with Coinbase's shares ending at lowest close in history, as both bitcoin and major U.S. stock indexes sink to multi-month lows.",-0.0,0.13,0.74,0.13
"Lucid has already mounted a challenge to Tesla, now, it’s copying Tesla’s habit of big price increases.",0.0772,0.08,0.92,0.0
"Elon Musk, who has agreed to take Twitter Inc. private in a $44 billion deal, has told potential investors he could return the social-media company to public ownership after just a few years.",0.2732,0.065,0.935,0.0
Bill Gates said that he isn’t sure of Elon Musk’s motives in buying Twitter Inc. and that social media must play a role in curbing the spread of misinformation.,0.34,0.147,0.781,0.072
"The Tesla tycoon’s complex bid for the social media platform will load the tech firm with debtIf you want to know who the world’s richest man has on speed dial, then a regulatory filing on Thursday provided an insight. Elon Musk announced a score of new backe…",0.5719,0.099,0.901,0.0
Musk has criticized Twitter for how the social media site moderates content.,-0.3612,0.0,0.815,0.185
"“No further TSLA sales planned after today,” billionaire Tesla CEO Elon Musk tweeted.",0.0,0.0,1.0,0.0
"A bearish ""death cross"" pattern has appeared in Tesla Inc.'s stock chart on Thursday, but history suggests it isn't as ominous as it sounds.",0.0268,0.098,0.808,0.094
"The bubble has burst for emerging tech stocks, but that doesn't mean its safe or smart to go long right now, warned Ray Dalio, founder of the world's largest hedge fund.",-0.298,0.095,0.75,0.154
Both Bill Gates and Elon Musk donate heavily to climate-protection issues. Yet the two have a history of public disagreements.,-0.4215,0.0,0.865,0.135
Lightfoot also pledged $500K to support abortion access in her city.,0.4019,0.213,0.787,0.0
"BMW tops the list of luxury brands; Tesla drops to fifth place among luxury car shoppers, but still dominates among EVs",0.3506,0.154,0.846,0.0
"New high-profile names have committed to help finance Musk’s acquisition of the social-media company, per Thursday filing",0.5859,0.242,0.758,0.0
Take advantage of this pattern of implied volatility of Tesla put options.,0.25,0.154,0.846,0.0
"Toyota recently introduced its first fully-electric vehicle to reach a widespread market, but your chance for the maximum tax credit is slipping away.",0.714,0.268,0.732,0.0
Twitter Inc. shareholders voted Wednesday to require that the social-media company report on its policies around concealment clauses and election spending.,0.0,0.0,1.0,0.0
"Elon Musk moves to try to get a lower price for Twitter, as his own net worth has declined along with the value of Tesla shares.",0.5106,0.219,0.707,0.074
"Shares of NIO Inc. and Li Auto Inc. fell in premarket trading Monday, after the China-based electric vehicle makers reported sharp drops in April deliveries, as they both cited supply chain challenges resulting from a new wave of COVID-19 outbreaks.",0.3612,0.086,0.914,0.0
Musk’s ‘temporarily on hold’ tweet sent Twitter's trading volume over 65-day averages,0.0,0.0,1.0,0.0
Biden will exercise White House authority in speeding up the quantum technology it hopes can allow Americans to charge EVs faster and bring other breakthroughs.,0.6124,0.214,0.786,0.0
"Last week, Tesla Inc (NASDAQ: TSLA) CEO Elon Musk tweeted a cartoon suggesting that his political stand has shifted towards the right over the years. pic.twitter.com/Q9OjlJhi7f",0.0,0.0,1.0,0.0
Real estate mogul Barbara Corcoran didn't mince words when asked about Tesla (TSLA) CEO Elon Musk's recent behavior.,0.0,0.0,1.0,0.0
Believing in electric vehicles back then would have made you very wealthy indeed.,0.4201,0.189,0.811,0.0
"U.S. District Judge Edward Chen of San Francisco ruled that Elon Musk's 2018 tweets of secured funding to take Tesla, Inc (NASDAQ: TSLA) private were...",0.4019,0.101,0.899,0.0
Tesla (TSLA) CEO Elon Musk’s early Friday morning tweet proclaiming his $44 billion bid to buy Twitter (TWTR) is on hold may violate laws meant to protect...,-0.4939,0.0,0.89,0.11
A weekly look at the most important moves and news in crypto and what's on the horizon in digital assets.,0.4201,0.182,0.818,0.0
"Even after recent sell-offs, the EV stock is still up more than 1,750% over the last three years.",0.0,0.0,1.0,0.0
The EV industry leader's share price is now down roughly 21% across 2022's trading.,0.296,0.145,0.855,0.0
"U.S. new-car sales are seen rising slightly in April from March, but investors continue to fret that low inventories, skyrocketing vehicle prices, and few if any sales incentives will continue to crimp sales.",0.0772,0.081,0.847,0.072
"Is the bottom in? There's been a nice bounce since Thursday, but Credit Suisse isn't buying it.",0.6486,0.275,0.725,0.0
"The volatility for stocks is heating up, but how likely is it that we'll actually get a 40% plus drop as some think? It all depends on this, says Evercore.",-0.3919,0.0,0.914,0.086
Our call of the day offers an update on what's been a popular strategy in recent months --- picking companies with pricing power.,0.4215,0.118,0.882,0.0
"As the Fed meeting looms, strategists are mapping out where they think the S&P 500 is headed next. Sub-4,000 to be sure.",0.1779,0.096,0.837,0.067
Free speech doesn't mean free from headaches.,0.1526,0.3,0.454,0.246
These electric cars satisfy the need for speed. Here's the 10 fastest mass-market electric cars currently for sale for mortal beings.,0.4588,0.13,0.87,0.0
"Yes, the technology in AVs can make them much safer. But the faster the vehicle travels, the less safe it becomes.",0.7319,0.285,0.715,0.0
They're all available for bargain prices right now.,0.2023,0.205,0.795,0.0
Is Tesla's decline since January a buying opportunity?,0.4215,0.318,0.682,0.0
Can its sky-high potential be met?,0.0,0.0,1.0,0.0
Tesla stock is shocked by bad headlines -- and survives them all.,-0.7003,0.0,0.633,0.367
Elon Musk is buying Twitter -- but the even bigger news is that he's done selling Tesla.,0.0,0.0,1.0,0.0
Twitter missed Q1 revenue estimates on stronger than expected user growth Thursday.,0.4588,0.317,0.549,0.134
Is Twitter a distraction for the electric vehicle mogul?,-0.3818,0.0,0.729,0.271
"The electric vehicle powerhouse might, or might not, be cranking up production at its Shanghai gigafactory.",0.0,0.0,1.0,0.0
Is the company's $44 billion deal at risk of not closing?,-0.2732,0.0,0.826,0.174
"The electric vehicle powerhouse isn't back on track yet -- but by tomorrow, it could be.",0.0,0.0,1.0,0.0
"After recent sell-offs, the EV stock is now down roughly 21% year to date.",0.0,0.0,1.0,0.0
A famous investor loads up on the shares.,0.296,0.268,0.732,0.0
One analyst thinks there's about 50% upside for the electric-car maker's shares over the next 12 months.,0.296,0.121,0.879,0.0
"“Tesla (TSLA) is overvalued” phrase is one used in abundance and when looking at the company from several angles, Morgan Stanley’s Adam Jonas thinks that it ...",0.0,0.0,1.0,0.0
"Tesla's (TSLA) stock briefly dipped below the $700 level on Thursday, amid an overall market rout and concerns of production stalls at the electric vehicle's...",0.0,0.0,1.0,0.0
News of Tesla Inc (NASDAQ: TSLA) CEO Elon Musk acquiring social media platform Twitter Inc (NYSE: TWTR) has been one of the biggest topics of the investing...,0.0,0.0,1.0,0.0
How a fund manager justifies doing absolutely nothing with his portfolio,0.0,0.0,1.0,0.0
"Our call of the day from TS Lombard chief economist Steven Blitz warns that the ""golden era of Fed-controlled equity markets"" is nearing an end.",-0.1027,0.0,0.945,0.055
"Our call of the day comes from Jefferies analysts, who round up some small to medium-size stocks that have been hit unreservedly hard in this market rout.",-0.1027,0.0,0.949,0.051
The way to make the most money without speculating or gambling is in U.S. value stocks,0.34,0.138,0.862,0.0
"Ownership shares Snap (SNAP)The Dow Jones Industrial Average fell 40% Tuesday. It was their lowest level since March 2020 just days after the Covid-19 pandemic struck the United States. In a regulatory filing, the company...read more
The post Social media sto…",0.1027,0.11,0.789,0.101
A weekly look at the most important moves and news in crypto and what's on the horizon in digital assets.,0.4201,0.182,0.818,0.0
"While stocks and bonds have all plummeted since Jan. 1, a few all-weather portfolios are doing a much better job of preserving their owners’ retirement savings.",0.4404,0.112,0.888,0.0
"Hello, Central Casting? What can you dig up in the ""Evil Assistant to Thin-Skinned Zillionaire"" department?",-0.6966,0.0,0.759,0.241
A bear call spread is a risk-defined strategy. So you always know the worst-case scenario in advance.,0.0,0.0,1.0,0.0
Musk has criticized Twitter for how the social media site moderates content.,-0.3612,0.0,0.815,0.185
"Musk said in a tweet that there are ""no further TSLA sales planned after today.""  The sale came after Musk on Monday clinched a deal to buy Twitter for $44...",-0.296,0.0,0.925,0.075
Should investors be worried that the Tesla CEO is juggling too many responsibilities?,-0.296,0.0,0.845,0.155
"As the broader market continues to fall, some investors may view the EV leader's stock slump as a buying opportunity. Are they right?",0.4215,0.118,0.882,0.0
Market drops are the best time to put money to work and juice long-term returns.,0.6369,0.231,0.769,0.0
Is the EV king heading for a major correction?,0.0,0.0,1.0,0.0
The stocks have dropped -- but business is booming.,0.0,0.0,1.0,0.0
"It's a tall task to become America's top auto producer, but Tesla has a good shot at it.",0.6428,0.273,0.727,0.0
Is the Nasdaq too cheap to ignore?,-0.3612,0.0,0.706,0.294
"The stock's valuation is getting closer to reasonable levels, but it may not stay there for long.",0.0,0.0,1.0,0.0
Tesla stock is down more than 40% this year. Could a stock split be a catalyst to turn the tide?,0.0,0.0,1.0,0.0
"The stock market's in the red, and Elon's in the news again with Twitter.",0.0,0.0,1.0,0.0
"Elon Musk's buyout offer amounted to a 40.1% premium over Twitter's closing price in March. The stock never rose that high, though.",0.0,0.0,1.0,0.0
"Competition heats up for Tesla in a red, not hot, stock market.",0.0,0.0,1.0,0.0
News regarding Shanghai's recent COVID-19 lockdown just gave investors some fresh insight into Tesla's production capacity in China.,0.3182,0.119,0.881,0.0
Will Tesla have to shut down production in Germany? Short answer: No.,-0.296,0.0,0.833,0.167
Investors are hoping Musk's bid to buy Twitter could cost less money.,0.4215,0.203,0.797,0.0
And why this could be a buying opportunity for long-term investors.,0.4215,0.237,0.763,0.0
The electric-car maker's stock has been getting hammered along with many other growth stocks.,0.3818,0.167,0.833,0.0
The company has other successful business lines in addition to its vehicles.,0.5859,0.257,0.743,0.0
And why now is probably the wrong time to sell Tesla.,-0.4767,0.0,0.763,0.237
"Cathie Wood is buying more shares of the EV maker -- and you might want to, too, based on this battery news.",0.4201,0.159,0.841,0.0
"In the short term, investors seem to be making a mistake. But what about the long term?",-0.1779,0.0,0.898,0.102
Tesla investors are digesting several pieces of negative news today.,-0.5719,0.0,0.709,0.291
Cathie Wood bought Tesla stock again -- but should you?,0.0,0.0,1.0,0.0
"Tesla stock has reversed its slump after Elon Musk said he is finished selling stock in the electric vehicle firm he runs as CEO in order to fund his pending $44 billion acquisition of Twitter. About $8.5 billion in stock sales, done in multiple transactions …",0.0,0.0,1.0,0.0
"Carmaker’s shares fell this week over concerns CEO would offload stock to help fund takeover of platformElon Musk has sold almost $4bn (£3.2bn) worth of Tesla shares since securing his $44bn deal to take control of Twitter.Musk, the electric carmaker’s chief …",0.8417,0.235,0.765,0.0
"There’s a solid base of Subaru fans who want a vehicle from their favorite car company, and the Solterra now gives them a zero-emissions alternative.",0.5994,0.237,0.763,0.0
Are Cathie Wood's stock choices that bad or is she mainly a victim of being in the wrong asset class at the wrong time?...ARKK,-0.8519,0.077,0.557,0.365
"Bitcoin has failed to provide ‘a compelling case to be used as a hedge against inflation,’ says E&Y blockchain leader",-0.34,0.086,0.766,0.149
